	dat_clust
1	23.48794956
2	90.88734476
3	157.2566487
4	127.3864023
5	15.40628381
6	8.203293592
7	3.941760998
8	52.05877007
9	9.527976461
10	24.91925973
11	15.38449293
12	21.71957776
13	84.8926423
14	42.12490821
15	46.16538218
16	119.3508645
17	36.05525492
18	35.65149234
19	53.91916111
20	23.09192548
21	11.84312874
22	48.30475879
23	10.19351622
24	6.654652479
25	26.82946669
26	6.66780417
27	118.7152355
28	31.52767243
29	19.26256708
30	86.57763699
31	92.02548251
32	49.82791247
33	76.66846652
34	19.95886746
35	27.37029712
36	6.025129414
37	24.76488248
38	52.97755606
39	46.88035987
40	3.674152224
41	39.13578964
42	89.84779909
43	149.2668313
44	96.56840513
45	42.33582368
46	24.86660309
47	5.801138567
48	10.46248824
49	17.75743015
50	70.22139938
51	17.81220193
52	25.19194885
53	9.584148523
54	79.22776867
55	47.64797498
56	79.95812084
57	80.76288023
58	47.07511225
59	48.65439778
60	52.84995896
61	105.4575214
62	33.91388097
63	36.05515795
64	30.14934169
65	86.12966621
66	32.20400973
67	28.45534173
68	91.03725623
69	40.52405411
70	8.354909625
71	18.26481593
72	60.16543017
73	67.55720745
74	32.52385478
75	70.14150516
76	14.23764622
77	79.2414147
78	25.16853988
79	36.06545709
80	30.29604673
81	65.35309635
82	3.092797772
83	30.71991302
84	19.36524734
85	24.3527229
86	40.53711679
87	32.64656754
88	7.247834118
89	148.2620482
90	18.55765151
91	37.61640345
92	40.01116515
93	67.63771627
94	39.15950748
95	6.371069738
96	91.56656268
97	88.54090683
98	20.12562419
99	81.83458047
100	31.93286264
101	33.67485362
102	7.848846387
103	42.29434945
104	10.78106215
105	23.233499
106	17.35904108
107	39.23049187
108	27.63581081
109	7.561266825
110	40.29806996
111	22.3020791
112	21.32329946
113	12.33246564
114	63.26869023
115	31.59530192
116	39.73614481
117	12.4529626
118	10.30793132
119	17.5093199
120	140.7818627
121	21.46676271
122	50.74012087
123	18.29604927
124	43.89715704
125	13.92084088
126	37.97268467
127	83.95334807
128	88.22118158
129	59.38049066
130	50.69360141
131	47.09634119
132	33.11053846
133	16.94790874
134	13.34800572
135	16.3371219
136	101.357358
137	37.40210123
138	13.17797541
139	47.22701963
140	16.94078717
141	64.77669945
142	78.92869547
143	99.49935154
144	45.89897291
145	83.85758994
146	44.72663681
147	2.390532429
148	3.751340537
149	60.05139723
150	30.95782848
151	15.00537371
152	92.61837489
153	6.985906309
154	17.01890017
155	33.07272368
156	16.37861346
157	76.03007321
158	21.08137055
159	41.12317497
160	67.46865904
161	35.54932538
162	116.9209061
163	16.7501291
164	27.99862593
165	26.23261518
166	31.12633677
167	42.1567262
168	3.991158509
169	11.47225814
170	23.92220171
171	73.7641681
172	36.66345937
173	29.3954355
174	25.26120584
175	165.2073366
176	41.14936357
177	63.96097207
178	57.02989316
179	79.25441309
180	52.4935612
181	53.6036405
182	20.70867735
183	24.94638214
184	29.92571411
185	11.65615069
186	5.906413432
187	36.50833038
188	115.6797838
189	29.46239631
190	33.34860282
191	55.48525828
192	33.46233126
193	12.48411333
194	25.20264621
195	17.62188817
196	69.99182428
197	10.44173916
198	81.41947256
199	29.7239333
200	52.33660566
201	74.58882765
202	31.56870597
203	33.79436834
204	41.80545104
205	60.2850322
206	48.89380346
207	15.54202576
208	11.51082179
209	46.76270194
210	19.46669452
211	40.04886968
212	19.64393957
213	24.65187297
214	77.13771368
215	17.6633888
216	40.9905363
217	62.68892876
218	49.06514553
219	22.86070613
220	17.09569669
221	67.61378903
222	8.836113802
223	30.86609482
224	13.25291644
225	69.75760904
226	48.31186365
227	19.74434817
228	19.62703173
229	16.72510595
230	44.26376914
231	12.93595825
232	46.7503618
233	62.53795315
234	31.64664718
235	83.96981453
236	117.9207692
237	2.505014802
238	29.63700756
239	32.10506292
240	28.91475005
241	10.94382299
242	42.05635241
243	135.5306709
244	24.72404151
245	28.0455939
246	66.75529601
247	76.42044496
248	88.73380376
249	19.55005476
250	15.31884645
251	8.970653665
252	8.009803818
253	28.21400088
254	55.63328614
255	2.561807105
256	102.7493134
257	18.3357198
258	27.14749342
259	19.91028469
260	25.92943579
261	61.83216187
262	17.0234545
263	23.09193577
264	20.63487409
265	9.34898156
266	2.526738084
267	61.6279696
268	50.17633139
269	26.2403368
270	47.47224817
271	32.00873059
272	151.227518
273	1.794986394
274	19.42790195
275	20.19646642
276	9.593126578
277	47.56714715
278	26.74163381
279	62.45267165
280	47.4452751
281	88.49610497
282	58.34856975
283	43.22949702
284	5.698604838
285	67.80445073
286	22.13509942
287	97.14431597
288	22.44003515
289	53.92523874
290	63.52533249
291	13.44816108
292	11.91844936
293	28.6689837
294	26.69320024
295	31.49390978
296	36.15984086
297	37.08202806
298	12.94863839
299	19.44818125
300	49.70964881
301	28.18912377
302	7.343861191
303	47.5744861
304	74.30999175
305	24.1400465
306	22.78652083
307	83.3987624
308	58.59472744
309	40.78798347
310	7.821649507
311	33.23741223
312	10.22400248
313	31.82851381
314	29.98017091
315	39.01413512
316	5.417895722
317	35.1651647
318	61.72126788
319	33.22777891
320	13.18779686
321	69.09812401
322	14.42263093
323	38.84475684
324	38.25992983
325	36.5852738
326	45.47286277
327	19.93522594
328	13.90765637
329	63.5233385
330	25.06691465
331	52.77027488
332	21.47729691
333	17.39376371
334	16.61437959
335	17.30364133
336	67.88015529
337	41.67670039
338	19.5729224
339	43.58600306
340	12.72587018
341	8.160814265
342	38.14891443
343	28.71020061
344	11.50833925
345	48.87442817
346	5.511805761
347	15.41376594
348	12.90766732
349	17.95407223
350	12.07016409
351	2.002614882
352	57.54781968
353	2.961248559
354	43.00475895
355	51.08242094
356	75.60280614
357	31.22358149
358	29.04516671
359	5.278822986
360	2.482370877
361	11.24279382
362	2.558910651
363	18.67549567
364	15.72321762
365	18.34198721
366	2.259401118
367	26.04846017
368	35.61663788
369	32.98247537
370	38.78098225
371	56.23796743
372	51.72077996
373	20.15895106
374	34.32712366
375	18.57152006
376	28.72831025
377	4.079786269
378	29.78527002
379	153.4106277
380	81.88964258
381	27.59727643
382	46.78086572
383	11.07091293
384	14.90685014
385	22.46054117
386	53.20778735
387	36.83851121
388	33.57752373
389	84.01464153
390	1.502944516
391	7.741379697
392	15.28343028
393	26.47972207
394	37.9138294
395	94.89626023
396	7.281070507
397	23.52286751
398	39.2421409
399	43.10443103
400	40.25704435
401	12.4424951
402	30.68020083
403	16.97113679
404	11.96233126
405	28.25847583
406	68.62301453
407	27.72525008
408	2.288664748
409	160.5186137
410	43.92867963
411	68.05741412
412	26.96409609
413	8.832417122
414	23.73865329
415	1.773029843
416	3.408561638
417	14.44200913
418	21.96167563
419	58.89368603
420	3.006696551
421	16.18127513
422	29.73063858
423	50.22202593
424	71.76315556
425	17.13478234
426	19.20031779
427	44.95164612
428	26.5733591
429	61.33951112
430	53.09641809
431	66.4350914
432	11.81895499
433	30.61821577
434	1.603931922
435	25.91438141
436	26.57670802
437	14.83796146
438	4.310966728
439	84.31936953
440	58.40743303
441	4.760172099
442	42.01667142
443	24.67792311
444	34.85605404
445	94.08121414
446	26.84531001
447	10.65136502
448	70.60757742
449	49.4007042
450	6.70548739
451	67.08679661
452	17.25453665
453	9.607649164
454	102.8651921
455	25.69752675
456	4.878219322
457	59.85218487
458	46.47162601
459	37.85084035
460	14.63464343
461	37.46403505
462	28.65527593
463	43.53392123
464	32.13522077
465	47.42162065
466	6.147702542
467	51.02253253
468	4.449119235
469	35.83375704
470	81.35979002
471	32.77945895
472	41.79681481
473	16.60947305
474	78.41281809
475	56.61244343
476	77.9285116
477	25.15664556
478	25.60211797
479	43.37846179
480	33.1009712
481	6.201974302
482	120.6256993
483	23.03416521
484	28.11412031
485	64.93961391
486	30.39690053
487	43.04342721
488	4.493798728
489	71.31197753
490	77.49184803
491	14.87748453
492	67.64179986
493	65.78990558
494	36.76397572
495	17.79310237
496	124.7449754
497	8.255186824
498	14.70208501
499	18.78641986
500	10.67260803
501	12.35948067
502	17.36780011
503	24.17506754
504	15.84005671
505	16.34869025
506	26.71241149
507	17.98382008
508	67.17638426
509	114.6450494
510	47.26113015
511	65.44591022
512	30.33069099
513	17.9322127
514	42.34959349
515	52.27296457
516	47.41292226
517	64.51331893
518	25.20739766
519	52.61104962
520	5.60744044
521	38.94880155
522	15.95506692
523	29.68504298
524	13.43562404
525	3.426916382
526	24.48449058
527	44.64566159
528	17.57951964
529	132.9245013
530	85.71633302
531	17.94717924
532	132.4851568
533	25.15361068
534	44.33907205
535	2.774780702
536	140.626113
537	14.79806378
538	23.43247868
539	6.551549539
540	58.67422642
541	26.24501349
542	14.01522879
543	3.596462484
544	14.52543609
545	24.12292156
546	10.08329369
547	25.42175636
548	8.012717664
549	4.448249027
550	48.39406386
551	57.18727907
552	23.61613918
553	91.62104745
554	49.00630659
555	23.91749509
556	12.75747236
557	31.16712151
558	80.19679376
559	35.7645533
560	26.55867544
561	59.75756132
562	48.50012812
563	164.7405522
564	34.3889734
565	23.41177687
566	97.96301434
567	20.22016141
568	45.34811302
569	33.30805736
570	14.44475223
571	3.845638819
572	9.572447616
573	19.36838759
574	51.25631814
575	39.73898802
576	7.199960028
577	31.78091024
578	28.81098957
579	17.90968836
580	82.75884977
581	6.774589433
582	10.00077552
583	15.50866227
584	33.88959513
585	61.89732671
586	54.02313156
587	111.4402978
588	77.26385917
589	61.68432966
590	53.56725163
591	11.18454141
592	13.50708021
593	85.96990139
594	79.23217525
595	27.26708791
596	5.604974806
597	35.15518341
598	4.272678145
599	7.21189873
600	90.59081745
601	23.51255098
602	47.71601554
603	34.44537163
604	51.24602998
605	50.65500732
606	35.70714703
607	23.62050363
608	28.65111789
609	20.50138353
610	5.514908608
611	123.2176658
612	31.04593078
613	34.69360363
614	7.555610333
615	26.02155185
616	44.39670283
617	10.59711413
618	60.98026773
619	23.03029345
620	41.50284958
621	29.97415012
622	141.2875003
623	18.30656231
624	63.80442339
625	61.83790506
626	54.41900701
627	59.34396601
628	38.0000574
629	73.3454238
630	31.63674791
631	49.64694471
632	33.52793535
633	73.42706919
634	75.78772257
635	32.14239765
636	6.726122573
637	40.52115348
638	31.915349
639	31.72590755
640	17.34787476
641	16.16178437
642	36.46474851
643	14.72547252
644	89.73942372
645	48.30562569
646	6.215701786
647	67.61153837
648	85.68200842
649	47.81198441
650	30.56638017
651	20.10104163
652	18.48613527
653	4.916041627
654	52.31328561
655	15.58508238
656	88.33801556
657	52.67933803
658	3.227558285
659	15.37230684
660	6.333200265
661	23.28880634
662	9.903121122
663	65.54610983
664	27.0602764
665	27.52517201
666	22.07273806
667	53.49297209
668	26.31793997
669	92.10308064
670	8.846133846
671	4.233971287
672	40.36936233
673	19.35499289
674	3.416030693
675	22.42194429
676	78.20349598
677	48.28449533
678	116.658477
679	8.680528916
680	49.6368232
681	8.149634521
682	16.86592342
683	25.81314469
684	35.98134527
685	62.7724347
686	35.1706082
687	20.3699839
688	79.99477132
689	9.974921304
690	106.2268216
691	39.68855806
692	48.37776758
693	123.5993127
694	24.53407798
